epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,3229.65,0.8795,0.68501,1.03509,0.89756,0.66372,0.75125,0.55284,0.81797,0.58618,0.92535,0.000306736,0.000306736,0.000306736
106,3260.1,0.91563,0.7123,1.04227,0.89422,0.65485,0.74525,0.56229,0.73491,0.57344,0.90895,0.00030007,0.00030007,0.00030007
107,3290.18,0.88705,0.70387,1.04003,0.90227,0.6637,0.74886,0.5652,0.74853,0.57043,0.91854,0.000293404,0.000293404,0.000293404
108,3320.24,0.87798,0.69324,1.02753,0.90906,0.65491,0.74518,0.56751,0.73669,0.57774,0.91162,0.000286738,0.000286738,0.000286738
109,3350.91,0.88997,0.69872,1.04139,0.8199,0.68269,0.7334,0.55484,0.73659,0.58542,0.90436,0.000280072,0.000280072,0.000280072
110,3380.28,0.86698,0.68114,1.02371,0.88136,0.65123,0.74343,0.56449,0.72856,0.58482,0.90632,0.000273406,0.000273406,0.000273406
111,3410.98,0.86766,0.68432,1.02571,0.89351,0.66463,0.74611,0.56499,0.73288,0.56632,0.90204,0.00026674,0.00026674,0.00026674
112,3440.97,0.87788,0.70153,1.03571,0.88381,0.66518,0.74039,0.55462,0.76632,0.58651,0.90839,0.000260074,0.000260074,0.000260074
113,3471.6,0.8804,0.68234,1.02798,0.86239,0.67505,0.74466,0.56541,0.73686,0.57299,0.90745,0.000253408,0.000253408,0.000253408
114,3501.52,0.86747,0.68979,1.036,0.88445,0.66347,0.74676,0.57212,0.72734,0.57607,0.90324,0.000246742,0.000246742,0.000246742
115,3531.38,0.86101,0.67263,1.02273,0.89091,0.66895,0.75223,0.57143,0.7275,0.56835,0.90721,0.000240076,0.000240076,0.000240076
116,3561.48,0.86785,0.69619,1.03141,0.90957,0.65774,0.75159,0.57385,0.72014,0.55949,0.90129,0.00023341,0.00023341,0.00023341
117,3591.09,0.86687,0.6736,1.02302,0.89605,0.66962,0.75237,0.56044,0.81671,0.5701,0.92481,0.000226744,0.000226744,0.000226744
118,3620.56,0.84145,0.6531,1.01301,0.89062,0.68225,0.756,0.56682,0.75666,0.57264,0.91133,0.000220078,0.000220078,0.000220078
119,3650.99,0.8537,0.6655,1.02122,0.88246,0.65756,0.74881,0.56733,0.74226,0.56968,0.90666,0.000213412,0.000213412,0.000213412
120,3681.54,0.82779,0.65511,1.01172,0.89689,0.6604,0.74638,0.5602,0.75531,0.57444,0.90437,0.000206746,0.000206746,0.000206746
121,3711.44,0.85708,0.67048,1.02559,0.91073,0.65219,0.75171,0.56888,0.75751,0.57083,0.90608,0.00020008,0.00020008,0.00020008
122,3741.97,0.86712,0.6693,1.02743,0.86314,0.68355,0.74907,0.5657,0.75292,0.5617,0.9099,0.000193414,0.000193414,0.000193414
123,3772,0.83274,0.64651,1.01468,0.91345,0.66017,0.74621,0.57267,0.71502,0.56081,0.90075,0.000186748,0.000186748,0.000186748
124,3802.42,0.84169,0.65968,1.01946,0.88191,0.67,0.74397,0.56047,0.77924,0.56934,0.90617,0.000180082,0.000180082,0.000180082
125,3833.28,0.8341,0.65134,1.01541,0.87884,0.65548,0.74506,0.56626,0.74091,0.56126,0.90509,0.000173416,0.000173416,0.000173416
126,3862.86,0.82267,0.6371,1.01249,0.90179,0.67258,0.76027,0.56597,0.76429,0.56044,0.90891,0.00016675,0.00016675,0.00016675
127,3893.75,0.84089,0.66114,1.01581,0.88109,0.68981,0.7594,0.57631,0.7418,0.55103,0.90002,0.000160084,0.000160084,0.000160084
128,3924.04,0.844,0.66275,1.01492,0.90445,0.66672,0.75639,0.57493,0.74146,0.54924,0.90059,0.000153418,0.000153418,0.000153418
129,3954.14,0.82903,0.64225,1.01818,0.8904,0.67636,0.75927,0.57582,0.74542,0.55414,0.90258,0.000146752,0.000146752,0.000146752
130,3984.78,0.82854,0.65465,1.01326,0.91524,0.66677,0.75737,0.57521,0.74355,0.55969,0.90526,0.000140086,0.000140086,0.000140086
131,4015.01,0.82451,0.64361,1.00786,0.90283,0.67068,0.76167,0.57712,0.7467,0.53871,0.90169,0.00013342,0.00013342,0.00013342
132,4045.42,0.83033,0.64038,1.00899,0.92822,0.65678,0.76064,0.56654,0.77728,0.5526,0.90312,0.000126754,0.000126754,0.000126754
133,4076.21,0.82376,0.64483,1.01373,0.90808,0.66534,0.75876,0.56961,0.775,0.55846,0.90526,0.000120088,0.000120088,0.000120088
134,4106.85,0.81656,0.63344,1.01167,0.92076,0.67462,0.76459,0.57133,0.76999,0.55308,0.90166,0.000113422,0.000113422,0.000113422
135,4137.03,0.8235,0.63739,1.00766,0.90489,0.67468,0.7639,0.57975,0.72614,0.54217,0.89841,0.000106756,0.000106756,0.000106756
136,4167.34,0.8122,0.62326,1.00615,0.87882,0.69061,0.76034,0.58394,0.70789,0.53728,0.894,0.00010009,0.00010009,0.00010009
137,4197.73,0.82002,0.63251,1.008,0.89591,0.67251,0.75519,0.5803,0.70453,0.53023,0.89165,9.3424e-05,9.3424e-05,9.3424e-05
138,4228.54,0.81156,0.62875,1.00215,0.91407,0.67291,0.75691,0.58039,0.71132,0.53343,0.89353,8.6758e-05,8.6758e-05,8.6758e-05
139,4258.96,0.82292,0.64383,1.00556,0.92471,0.657,0.76366,0.58514,0.72024,0.53041,0.89973,8.0092e-05,8.0092e-05,8.0092e-05
140,4290.11,0.81741,0.63574,1.00662,0.91739,0.66866,0.76273,0.58392,0.70859,0.52627,0.89559,7.3426e-05,7.3426e-05,7.3426e-05
141,4326.04,0.65091,0.49245,0.89996,0.92795,0.64946,0.75099,0.56297,0.75468,0.56017,0.90814,6.676e-05,6.676e-05,6.676e-05
142,4352.96,0.63612,0.46046,0.89434,0.90342,0.65624,0.7559,0.56683,0.74328,0.55051,0.90423,6.0094e-05,6.0094e-05,6.0094e-05
143,4379.79,0.62957,0.44806,0.89086,0.89137,0.67073,0.76123,0.57486,0.72495,0.52725,0.8968,5.3428e-05,5.3428e-05,5.3428e-05
144,4407.46,0.63293,0.45632,0.8951,0.88926,0.67416,0.7644,0.57458,0.72839,0.53128,0.89671,4.6762e-05,4.6762e-05,4.6762e-05
145,4434.63,0.61747,0.43455,0.89025,0.89994,0.68363,0.76864,0.57669,0.73222,0.52324,0.89967,4.0096e-05,4.0096e-05,4.0096e-05
146,4461.62,0.61793,0.44378,0.88452,0.88639,0.68711,0.76551,0.57487,0.73274,0.52347,0.90014,3.343e-05,3.343e-05,3.343e-05
147,4490.02,0.61167,0.43347,0.88134,0.8912,0.68068,0.76442,0.57837,0.72873,0.52532,0.89859,2.6764e-05,2.6764e-05,2.6764e-05
148,4517.1,0.60845,0.42985,0.88391,0.9199,0.67535,0.76517,0.57686,0.73662,0.52497,0.89999,2.0098e-05,2.0098e-05,2.0098e-05
149,4544.7,0.60967,0.4309,0.88246,0.91505,0.67496,0.76559,0.57759,0.72691,0.52082,0.89856,1.3432e-05,1.3432e-05,1.3432e-05
150,4572.3,0.61642,0.43194,0.88447,0.9107,0.67513,0.76605,0.57903,0.72585,0.52047,0.89858,6.766e-06,6.766e-06,6.766e-06
